"","country","region","nconflicts","nconflict_no_fatalities","fatalities"
"1","Afghanistan","Southern Asia",40765,23946,119973
"2","Albania","Europe",582,581,1
"3","Algeria","Northern Africa",7362,5321,8451
"4","Angola","Middle Africa",1108,728,13788
"5","Armenia","Caucasus and Central Asia",3118,3110,8
"6","Azerbaijan","Caucasus and Central Asia",12627,12578,59
"7","Bahrain","Middle East",1861,1846,22
"8","Bangladesh","Southern Asia",16802,13114,4640
"9","Belarus","Europe",293,293,0
"10","Benin","Western Africa",215,165,114
"11","Bosnia and Herzegovina","Europe",459,457,2
"12","Botswana","Southern Africa",52,49,3
"13","Bulgaria","Europe",765,765,0
"14","Burkina Faso","Western Africa",2105,1489,2780
"15","Burundi","Eastern Africa",7760,5081,16082
"16","Cambodia","South-Eastern Asia",1919,1784,235
"17","Cameroon","Middle Africa",2621,1248,7435
"18","Central African Republic","Middle Africa",4625,2592,13850
"19","Chad","Middle Africa",912,576,7421
"20","Croatia","Europe",411,409,2
"21","Cyprus","Europe",312,310,2
"22","Democratic Republic of Congo","Middle Africa",14519,9488,44565
"23","Djibouti","Eastern Africa",112,93,71
"24","Egypt","Northern Africa",10260,7590,14366
"25","Equatorial Guinea","Middle Africa",50,36,33
"26","Eritrea","Eastern Africa",191,135,973
"27","eSwatini","Southern Africa",190,177,14
"28","Ethiopia","Eastern Africa",5122,2714,25004
"29","Gabon","Middle Africa",215,203,21
"30","Gambia","Western Africa",197,169,142
"31","Georgia","Caucasus and Central Asia",1446,1440,6
"32","Ghana","Western Africa",858,681,594
"33","Greece","Europe",1312,1303,13
"34","Guinea","Western Africa",1121,820,2698
"35","Guinea-Bissau","Western Africa",151,115,160
"36","India","Southern Asia",67561,63665,6663
"37","Indonesia","South-Eastern Asia",3371,3084,578
"38","Iran","Middle East",5708,5481,832
"39","Iraq","Middle East",22354,10693,99540
"40","Israel","Middle East",1580,1547,45
"41","Ivory Coast","Western Africa",1838,1385,3952
"42","Jordan","Middle East",491,465,111
"43","Kazakhstan","Caucasus and Central Asia",374,366,8
"44","Kenya","Eastern Africa",6427,4065,9291
"45","Kosovo","Europe",289,285,4
"46","Kuwait","Middle East",39,39,0
"47","Kyrgyzstan","Caucasus and Central Asia",319,313,7
"48","Laos","South-Eastern Asia",41,23,35
"49","Lebanon","Middle East",2956,2786,715
"50","Lesotho","Southern Africa",83,60,43
"51","Liberia","Western Africa",1294,1203,588
"52","Libya","Northern Africa",8857,5550,21107
"53","Madagascar","Eastern Africa",1365,858,2101
"54","Malawi","Eastern Africa",512,413,138
"55","Malaysia","South-Eastern Asia",384,368,25
"56","Mali","Western Africa",3193,1765,7377
"57","Mauritania","Western Africa",598,558,137
"58","Moldova","Europe",444,444,0
"59","Montenegro","Europe",213,211,2
"60","Morocco","Northern Africa",2177,2128,152
"61","Mozambique","Eastern Africa",1250,817,1545
"62","Myanmar","South-Eastern Asia",9070,7576,8572
"63","Namibia","Southern Africa",682,622,206
"64","Nepal","Southern Asia",5143,5006,191
"65","Niger","Western Africa",971,577,3242
"66","Nigeria","Western Africa",15011,8063,69585
"67","North Macedonia","Europe",275,274,1
"68","Oman","Middle East",9,8,1
"69","Pakistan","Southern Asia",54496,45679,38258
"70","Palestine","Middle East",6568,6058,790
"71","Philippines","South-Eastern Asia",9690,2692,11759
"72","Qatar","Middle East",5,5,0
"73","Republic of Congo","Middle Africa",243,193,459
"74","Romania","Europe",1134,1133,1
"75","Russia","Europe",3734,3644,168
"76","Rwanda","Eastern Africa",370,240,1381
"77","Saudi Arabia","Middle East",6096,3509,16907
"78","Senegal","Western Africa",963,791,663
"79","Serbia","Europe",1275,1269,6
"80","Sierra Leone","Western Africa",1079,1037,65
"81","Somalia","Eastern Africa",29667,16933,50005
"82","South Africa","Southern Africa",11667,10652,1483
"83","South Sudan","Eastern Africa",6227,3232,32720
"84","Spain","Northern Africa",2,2,0
"85","Sri Lanka","Southern Asia",3855,3717,450
"86","Sudan","Northern Africa",12528,7802,76599
"87","Syria","Middle East",70734,50472,98922
"88","Tajikistan","Caucasus and Central Asia",68,55,130
"89","Tanzania","Eastern Africa",782,541,1064
"90","Thailand","South-Eastern Asia",7420,5671,2655
"91","Togo","Western Africa",321,276,179
"92","Tunisia","Northern Africa",5756,5484,832
"93","Tunisia","Southern Africa",1,1,0
"94","Turkey","Middle East",10334,7570,11129
"95","Turkmenistan","Caucasus and Central Asia",21,15,33
"96","Uganda","Eastern Africa",4866,2882,11272
"97","Ukraine","Europe",30131,29137,1287
"98","United Arab Emirates","Middle East",4,4,0
"99","Uzbekistan","Caucasus and Central Asia",102,97,5
"100","Vietnam","South-Eastern Asia",503,462,132
"101","Yemen","Middle East",45298,30742,102589
"102","Zambia","Southern Africa",1148,1029,236
"103","Zimbabwe","Southern Africa",5891,5589,460
